Deportista: deportista_697, Especialidad: lanzamiento de disco,   Mejor marca: 7905.0 en Torneo de Argentina, intento 3  Peor marca: 7188.0 en Torneo de Bulgaria, intento 7
Deportista: deportista_341, Especialidad: carrera 42000 m,   Mejor marca: 7303562.0 en Torneo de Russia, intento 1  Peor marca: 8030363.0 en Torneo de Uganda, intento 1
Deportista: deportista_563, Especialidad: salto largo,   Mejor marca: 955.0 en Torneo de Scotland, intento 3  Peor marca: 869.0 en Torneo de Bulgaria, intento 8
Deportista: deportista_422, Especialidad: carrera 400 m con vallas,   Mejor marca: 46106.0 en Torneo de Kazakhstan, intento 1  Peor marca: 50679.0 en Torneo de Bahrain, intento 1
Deportista: deportista_181, Especialidad: carrera 1500 m,   Mejor marca: 208772.0 en Torneo de Niger, intento 1  Peor marca: 229629.0 en Torneo de Saint Kitts and Nevis, intento 1
Deportista: deportista_141, Especialidad: carrera 800 m,   Mejor marca: 101906.0 en Torneo de Czechia, intento 1  Peor marca: 112056.0 en Torneo de Rwanda, intento 1
Deportista: deportista_33, Especialidad: carrera 100 m,   Mejor marca: 9760.0 en Torneo de United States, intento 1  Peor marca: 10736.0 en Torneo de Sao Tome and Principe, intento 1
Deportista: deportista_249, Especialidad: carrera 21000 m,   Mejor marca: 3482018.0 en Torneo de Syria, intento 1  Peor marca: 3828474.0 en Torneo de Switzerland, intento 1
Deportista: deportista_385, Especialidad: carrera 110 m con vallas,   Mejor marca: 12102.0 en Torneo de Papua New Guinea, intento 1  Peor marca: 13305.0 en Torneo de Vanuatu, intento 1
Deportista: deportista_695, Especialidad: lanzamiento de disco,   Mejor marca: 7901.0 en Torneo de Somalia, intento 4  Peor marca: 7186.0 en Torneo de Chile, intento 2
Deportista: deportista_613, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de United Kingdom, intento 2  Peor marca: 1814.0 en Torneo de French Guiana, intento 1
Deportista: deportista_409, Especialidad: carrera 400 m con vallas,   Mejor marca: 46120.0 en Torneo de United Arab Emirates, intento 1  Peor marca: 50698.0 en Torneo de Georgia, intento 1
Deportista: deportista_366, Especialidad: carrera 110 m con vallas,   Mejor marca: 12109.0 en Torneo de Kuwait, intento 1  Peor marca: 13304.0 en Torneo de Jordan, intento 1
Deportista: deportista_110, Especialidad: carrera 400 m,   Mejor marca: 43458.0 en Torneo de Gabon, intento 1  Peor marca: 47781.0 en Torneo de Chad, intento 1
Deportista: deportista_494, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Venezuela, intento 9  Peor marca: 237.0 en Torneo de Armenia, intento 3
Deportista: deportista_299, Especialidad: carrera 21000 m,   Mejor marca: 3481732.0 en Torneo de Japan, intento 1  Peor marca: 3827379.0 en Torneo de Brazil, intento 1
Deportista: deportista_311, Especialidad: carrera 42000 m,   Mejor marca: 7303234.0 en Torneo de Gambia, intento 1  Peor marca: 8023527.0 en Torneo de Syria, intento 1
Deportista: deportista_79, Especialidad: carrera 200 m,   Mejor marca: 19503.0 en Torneo de Peru, intento 1  Peor marca: 21434.0 en Torneo de Zambia, intento 1
Deportista: deportista_670, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Ivory Coast, intento 8  Peor marca: 2291.0 en Torneo de Qatar, intento 7
Deportista: deportista_642, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Switzerland, intento 9  Peor marca: 1814.0 en Torneo de Macedonia, intento 7
Deportista: deportista_277, Especialidad: carrera 10000 m,   Mejor marca: 1609113.0 en Torneo de Netherlands, intento 1  Peor marca: 1768515.0 en Torneo de Mali, intento 1
Deportista: deportista_490, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Vietnam, intento 3  Peor marca: 237.0 en Torneo de Botswana, intento 8
Deportista: deportista_735, Especialidad: lanzamiento de martillo,   Mejor marca: 8991.0 en Torneo de United States, intento 4  Peor marca: 8175.0 en Torneo de Mauritius, intento 6
Deportista: deportista_140, Especialidad: carrera 800 m,   Mejor marca: 101918.0 en Torneo de Barbados, intento 1  Peor marca: 112066.0 en Torneo de Rwanda, intento 1
Deportista: deportista_497, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Panama, intento 5  Peor marca: 237.0 en Torneo de Barbados, intento 7
Deportista: deportista_587, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Liechtenstein, intento 2  Peor marca: 869.0 en Torneo de Cameroon, intento 5
Deportista: deportista_195, Especialidad: carrera 1500 m,   Mejor marca: 208796.0 en Torneo de Burundi, intento 1  Peor marca: 229463.0 en Torneo de Sierra Leone, intento 1
Deportista: deportista_154, Especialidad: carrera 800 m,   Mejor marca: 101926.0 en Torneo de Bosnia and Herzegovina, intento 1  Peor marca: 112071.0 en Torneo de Tonga, intento 1
Deportista: deportista_93, Especialidad: carrera 800 m,   Mejor marca: 101910.0 en Torneo de Japan, intento 1  Peor marca: 112026.0 en Torneo de Tuvalu, intento 1
Deportista: deportista_500, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Senegal, intento 6  Peor marca: 237.0 en Torneo de Belize, intento 1
Deportista: deportista_566, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Namibia, intento 8  Peor marca: 869.0 en Torneo de Saint Vincent and the Grenadines, intento 2
Deportista: deportista_536, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Slovakia, intento 10  Peor marca: 606.0 en Torneo de Nicaragua, intento 4
Deportista: deportista_723, Especialidad: lanzamiento de disco,   Mejor marca: 7904.0 en Torneo de United Arab Emirates, intento 5  Peor marca: 7186.0 en Torneo de Albania, intento 8
Deportista: deportista_677, Especialidad: lanzamiento de bala,   Mejor marca: 2521.0 en Torneo de Bhutan, intento 3  Peor marca: 2291.0 en Torneo de Malawi, intento 2
Deportista: deportista_551, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Tonga, intento 1  Peor marca: 606.0 en Torneo de Angola, intento 7
Deportista: deportista_222, Especialidad: carrera 5000 m,   Mejor marca: 772442.0 en Torneo de Saudi Arabia, intento 1  Peor marca: 849132.0 en Torneo de Myanmar, intento 1
Deportista: deportista_466, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481492.0 en Torneo de Mauritius, intento 1  Peor marca: 528951.0 en Torneo de Indonesia, intento 1
Deportista: deportista_752, Especialidad: lanzamiento de martillo,   Mejor marca: 8992.0 en Torneo de New Zealand, intento 10  Peor marca: 8179.0 en Torneo de Hungary, intento 2
Deportista: deportista_313, Especialidad: carrera 42000 m,   Mejor marca: 7304491.0 en Torneo de Azerbaijan, intento 1  Peor marca: 8029156.0 en Torneo de Gambia, intento 1
Deportista: deportista_496, Especialidad: salto de altura,   Mejor marca: 261.0 en Torneo de Turkey, intento 4  Peor marca: 237.0 en Torneo de Azerbaijan, intento 9
Deportista: deportista_17, Especialidad: carrera 100 m,   Mejor marca: 9760.0 en Torneo de San Marino, intento 1  Peor marca: 10733.0 en Torneo de Belize, intento 1
Deportista: deportista_622, Especialidad: salto triple,   Mejor marca: 1995.0 en Torneo de Panama, intento 7  Peor marca: 1814.0 en Torneo de Solomon Islands, intento 7
Deportista: deportista_96, Especialidad: carrera 400 m,   Mejor marca: 43473.0 en Torneo de Comoros, intento 1  Peor marca: 47774.0 en Torneo de Chad, intento 1
Deportista: deportista_520, Especialidad: salto largo,   Mejor marca: 955.0 en Torneo de Singapore, intento 7  Peor marca: 869.0 en Torneo de Belgium, intento 10
Deportista: deportista_631, Especialidad: salto triple,   Mejor marca: 1996.0 en Torneo de Luxembourg, intento 9  Peor marca: 1815.0 en Torneo de Madagascar, intento 4
Deportista: deportista_321, Especialidad: carrera 21000 m,   Mejor marca: 3484087.0 en Torneo de Bangladesh, intento 1  Peor marca: 3827707.0 en Torneo de Turkey, intento 1
Deportista: deportista_454, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481113.0 en Torneo de Costa Rica, intento 1  Peor marca: 528870.0 en Torneo de Namibia, intento 1
Deportista: deportista_129, Especialidad: carrera 800 m,   Mejor marca: 101920.0 en Torneo de Vanuatu, intento 1  Peor marca: 111991.0 en Torneo de Cuba, intento 1
Deportista: deportista_218, Especialidad: carrera 10000 m,   Mejor marca: 1608510.0 en Torneo de Chile, intento 1  Peor marca: 1768122.0 en Torneo de South Korea, intento 1
Deportista: deportista_127, Especialidad: carrera 800 m,   Mejor marca: 101989.0 en Torneo de Hungary, intento 1  Peor marca: 111995.0 en Torneo de Slovenia, intento 1
Deportista: deportista_352, Especialidad: carrera 42000 m,   Mejor marca: 7301386.0 en Torneo de Guyana, intento 1  Peor marca: 8025039.0 en Torneo de Lithuania, intento 1
Deportista: deportista_416, Especialidad: carrera 400 m con vallas,   Mejor marca: 46130.0 en Torneo de Botswana, intento 1  Peor marca: 50625.0 en Torneo de Ivory Coast, intento 1
Deportista: deportista_571, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Scotland, intento 1  Peor marca: 869.0 en Torneo de Luxembourg, intento 4
Deportista: deportista_444, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481433.0 en Torneo de Italy, intento 1  Peor marca: 528674.0 en Torneo de New Zealand, intento 1
Deportista: deportista_155, Especialidad: carrera 800 m,   Mejor marca: 101899.0 en Torneo de South Korea, intento 1  Peor marca: 111989.0 en Torneo de Canada, intento 1
Deportista: deportista_758, Especialidad: lanzamiento de martillo,   Mejor marca: 8990.0 en Torneo de Iraq, intento 10  Peor marca: 8175.0 en Torneo de Ivory Coast, intento 2
Deportista: deportista_18, Especialidad: carrera 100 m,   Mejor marca: 9764.0 en Torneo de Gambia, intento 1  Peor marca: 10733.0 en Torneo de Timor-Leste, intento 1
Deportista: deportista_632, Especialidad: salto triple,   Mejor marca: 1995.0 en Torneo de Suriname, intento 4  Peor marca: 1814.0 en Torneo de Mozambique, intento 7
Deportista: deportista_39, Especialidad: carrera 200 m,   Mejor marca: 19501.0 en Torneo de United Kingdom, intento 1  Peor marca: 21444.0 en Torneo de Dominican Republic, intento 1
Deportista: deportista_772, Especialidad: lanzamiento de jabalina,   Mejor marca: 9966.0 en Torneo de Bulgaria, intento 6  Peor marca: 9072.0 en Torneo de Lithuania, intento 1
Deportista: deportista_205, Especialidad: carrera 10000 m,   Mejor marca: 1608319.0 en Torneo de Zambia, intento 1  Peor marca: 1768601.0 en Torneo de Azerbaijan, intento 1
Deportista: deportista_243, Especialidad: carrera 3000 m con vallas,   Mejor marca: 481175.0 en Torneo de Ivory Coast, intento 1  Peor marca: 529133.0 en Torneo de Afghanistan, intento 1
Deportista: deportista_701, Especialidad: lanzamiento de disco,   Mejor marca: 7899.0 en Torneo de Sri Lanka, intento 1  Peor marca: 7187.0 en Torneo de Albania, intento 5
Deportista: deportista_581, Especialidad: salto largo,   Mejor marca: 956.0 en Torneo de Nicaragua, intento 7  Peor marca: 869.0 en Torneo de Comoros, intento 1
Deportista: deportista_401, Especialidad: carrera 110 m con vallas,   Mejor marca: 12100.0 en Torneo de Palau, intento 1  Peor marca: 13305.0 en Torneo de Mongolia, intento 1
Deportista: deportista_736, Especialidad: lanzamiento de martillo,   Mejor marca: 8986.0 en Torneo de Thailand, intento 5  Peor marca: 8182.0 en Torneo de Malawi, intento 2
Deportista: deportista_206, Especialidad: carrera 10000 m,   Mejor marca: 1608136.0 en Torneo de Eritrea, intento 1  Peor marca: 1767755.0 en Torneo de Scotland, intento 1
Deportista: deportista_136, Especialidad: carrera 800 m,   Mejor marca: 101925.0 en Torneo de Monaco, intento 1  Peor marca: 112059.0 en Torneo de Nicaragua, intento 1
Deportista: deportista_558, Especialidad: salto con pertiga,   Mejor marca: 667.0 en Torneo de Tunisia, intento 4  Peor marca: 606.0 en Torneo de French Guiana, intento 1
Deportista: deportista_162, Especialidad: carrera 800 m,   Mejor marca: 101994.0 en Torneo de Haiti, intento 1  Peor marca: 112017.0 en Torneo de Spain, intento 1
