Posición 1 - Especialidad: carrera 800 m, Deportista: Kate GRACE, Torneo: Torneo de Virgin Islands (British), Intento: 1, Marca: 112079.0
Posición 2 - Especialidad: carrera 800 m, Deportista: Catriona BISSET, Torneo: Torneo de South Africa, Intento: 1, Marca: 112078.0
Posición 3 - Especialidad: carrera 800 m, Deportista: Ajee WILSON, Torneo: Torneo de Japan, Intento: 1, Marca: 112078.0
Posición 1 - Especialidad: lanzamiento de jabalina, Deportista: Kim AMB, Torneo: Torneo de Albania, Intento: 6, Marca: 9061.0
Posición 2 - Especialidad: lanzamiento de jabalina, Deportista: Shiying LIU, Torneo: Torneo de Burundi, Intento: 8, Marca: 9061.0
Posición 3 - Especialidad: lanzamiento de jabalina, Deportista: Anderson PETERS, Torneo: Torneo de Colombia, Intento: 5, Marca: 9061.0
Posición 1 - Especialidad: salto largo, Deportista: Yanis Esmeralda DAVID, Torneo: Torneo de Algeria, Intento: 8, Marca: 869.0
Posición 2 - Especialidad: salto largo, Deportista: Kenyattia HACKWORTH, Torneo: Torneo de Angola, Intento: 4, Marca: 869.0
Posición 3 - Especialidad: salto largo, Deportista: Abigail IROZURU, Torneo: Torneo de Argentina, Intento: 8, Marca: 869.0
Posición 1 - Especialidad: lanzamiento de disco, Deportista: Yelena PANOVA, Torneo: Torneo de Albania, Intento: 8, Marca: 7186.0
Posición 2 - Especialidad: lanzamiento de disco, Deportista: Alex ROSE, Torneo: Torneo de Burkina Faso, Intento: 9, Marca: 7186.0
Posición 3 - Especialidad: lanzamiento de disco, Deportista: Piotr MAŁACHOWSKI, Torneo: Torneo de Cambodia, Intento: 6, Marca: 7186.0
Posición 1 - Especialidad: salto con pertiga, Deportista: Andrew IRWIN, Torneo: Torneo de Andorra, Intento: 5, Marca: 606.0
Posición 2 - Especialidad: salto con pertiga, Deportista: Yarisley SILVA, Torneo: Torneo de Angola, Intento: 5, Marca: 606.0
Posición 3 - Especialidad: salto con pertiga, Deportista: Angelica BENGTSSON, Torneo: Torneo de Angola, Intento: 7, Marca: 606.0
Posición 1 - Especialidad: salto triple, Deportista: Thea LAFOND, Torneo: Torneo de Australia, Intento: 3, Marca: 1814.0
Posición 2 - Especialidad: salto triple, Deportista: Thea LAFOND, Torneo: Torneo de Belgium, Intento: 10, Marca: 1814.0
Posición 3 - Especialidad: salto triple, Deportista: Paraskevi PAPACHRISTOU, Torneo: Torneo de Central African Republic, Intento: 10, Marca: 1814.0
Posición 1 - Especialidad: carrera 3000 m con vallas, Deportista: Karoline Bjerkeli GRØVDAL, Torneo: Torneo de Afghanistan, Intento: 1, Marca: 529133.0
Posición 2 - Especialidad: carrera 3000 m con vallas, Deportista: Matthew HUGHES, Torneo: Torneo de Mali, Intento: 1, Marca: 529132.0
Posición 3 - Especialidad: carrera 3000 m con vallas, Deportista: Barnabas KIPYEGO, Torneo: Torneo de United Arab Emirates, Intento: 1, Marca: 529130.0
Posición 1 - Especialidad: salto de altura, Deportista: Ana ŠIMIĆ, Torneo: Torneo de Albania, Intento: 3, Marca: 237.0
Posición 2 - Especialidad: salto de altura, Deportista: Shelby MCEWEN, Torneo: Torneo de Albania, Intento: 4, Marca: 237.0
Posición 3 - Especialidad: salto de altura, Deportista: Mikhail AKIMENKO, Torneo: Torneo de Albania, Intento: 7, Marca: 237.0
Posición 1 - Especialidad: lanzamiento de bala, Deportista: Rachel FATHERLY, Torneo: Torneo de Botswana, Intento: 9, Marca: 2291.0
Posición 2 - Especialidad: lanzamiento de bala, Deportista: Aliona DUBITSKAYA, Torneo: Torneo de Brazil, Intento: 10, Marca: 2291.0
Posición 3 - Especialidad: lanzamiento de bala, Deportista: Paulina GUBA, Torneo: Torneo de Bulgaria, Intento: 2, Marca: 2291.0
Posición 1 - Especialidad: carrera 100 m, Deportista: Briana WILLIAMS, Torneo: Torneo de United Arab Emirates, Intento: 1, Marca: 10736.0
Posición 2 - Especialidad: carrera 100 m, Deportista: Murielle AHOURÉ, Torneo: Torneo de Sao Tome and Principe, Intento: 1, Marca: 10736.0
Posición 3 - Especialidad: carrera 100 m, Deportista: Blessing OKAGBARE, Torneo: Torneo de Russia, Intento: 1, Marca: 10736.0
Posición 1 - Especialidad: carrera 1500 m, Deportista: Rababe ARAFI, Torneo: Torneo de Bhutan, Intento: 1, Marca: 229647.0
Posición 2 - Especialidad: carrera 1500 m, Deportista: Axumawit EMBAYE, Torneo: Torneo de Algeria, Intento: 1, Marca: 229647.0
Posición 3 - Especialidad: carrera 1500 m, Deportista: Rababe ARAFI, Torneo: Torneo de Sierra Leone, Intento: 1, Marca: 229641.0
Posición 1 - Especialidad: carrera 21000 m, Deportista: Seifu TURA, Torneo: Torneo de Panama, Intento: 1, Marca: 3829025.0
Posición 2 - Especialidad: carrera 21000 m, Deportista: Birhane DIBABA, Torneo: Torneo de Chile, Intento: 1, Marca: 3828892.0
Posición 3 - Especialidad: carrera 21000 m, Deportista: Tsehay GEMECHU, Torneo: Torneo de Monaco, Intento: 1, Marca: 3828843.0
Posición 1 - Especialidad: carrera 200 m, Deportista: Abdul Hakim SANI BROWN, Torneo: Torneo de Sweden, Intento: 1, Marca: 21450.0
Posición 2 - Especialidad: carrera 200 m, Deportista: Steven GARDINER, Torneo: Torneo de Gambia, Intento: 1, Marca: 21450.0
Posición 3 - Especialidad: carrera 200 m, Deportista: Andre DE GRASSE, Torneo: Torneo de Brunei, Intento: 1, Marca: 21450.0
Posición 1 - Especialidad: lanzamiento de martillo, Deportista: Bence HALÁSZ, Torneo: Torneo de Bangladesh, Intento: 10, Marca: 8174.0
Posición 2 - Especialidad: lanzamiento de martillo, Deportista: Paweł FAJDEK, Torneo: Torneo de Comoros, Intento: 1, Marca: 8174.0
Posición 3 - Especialidad: lanzamiento de martillo, Deportista: Janee KASSANAVOID, Torneo: Torneo de Equatorial Guinea, Intento: 6, Marca: 8174.0
Posición 1 - Especialidad: carrera 400 m, Deportista: Wadeline JONATHAS, Torneo: Torneo de Sudan, Intento: 1, Marca: 47795.0
Posición 2 - Especialidad: carrera 400 m, Deportista: Jonathan JONES, Torneo: Torneo de Israel, Intento: 1, Marca: 47794.0
Posición 3 - Especialidad: carrera 400 m, Deportista: Rai BENJAMIN, Torneo: Torneo de Cyprus, Intento: 1, Marca: 47794.0
Posición 1 - Especialidad: carrera 400 m con vallas, Deportista: Abdelmalik LAHOULOU, Torneo: Torneo de Lithuania, Intento: 1, Marca: 50702.0
Posición 2 - Especialidad: carrera 400 m con vallas, Deportista: Lea SPRUNGER, Torneo: Torneo de Syria, Intento: 1, Marca: 50701.0
Posición 3 - Especialidad: carrera 400 m con vallas, Deportista: Sara Slott PETERSEN, Torneo: Torneo de Kiribati, Intento: 1, Marca: 50701.0
Posición 1 - Especialidad: carrera 5000 m, Deportista: Agnes Jebet TIROP, Torneo: Torneo de Mongolia, Intento: 1, Marca: 849293.0
Posición 2 - Especialidad: carrera 5000 m, Deportista: Jakob INGEBRIGTSEN, Torneo: Torneo de Colombia, Intento: 1, Marca: 849290.0
Posición 3 - Especialidad: carrera 5000 m, Deportista: Letesenbet GIDEY, Torneo: Torneo de Australia, Intento: 1, Marca: 849287.0
Posición 1 - Especialidad: carrera 110 m con vallas, Deportista: Grant HOLLOWAY, Torneo: Torneo de Vanuatu, Intento: 1, Marca: 13308.0
Posición 2 - Especialidad: carrera 110 m con vallas, Deportista: Pascal MARTINOT-LAGARDE, Torneo: Torneo de South Africa, Intento: 1, Marca: 13308.0
Posición 3 - Especialidad: carrera 110 m con vallas, Deportista: Janeek BROWN, Torneo: Torneo de Panama, Intento: 1, Marca: 13308.0
Posición 1 - Especialidad: carrera 10000 m, Deportista: Jemal Yimer MEKONNEN, Torneo: Torneo de El Salvador, Intento: 1, Marca: 1768818.0
Posición 2 - Especialidad: carrera 10000 m, Deportista: Mogos TUEMAY, Torneo: Torneo de Kiribati, Intento: 1, Marca: 1768816.0
Posición 3 - Especialidad: carrera 10000 m, Deportista: Letesenbet GIDEY, Torneo: Torneo de Lebanon, Intento: 1, Marca: 1768785.0
Posición 1 - Especialidad: carrera 42000 m, Deportista: Purity Cherotich RIONORIPO, Torneo: Torneo de Chad, Intento: 1, Marca: 8031054.0
Posición 2 - Especialidad: carrera 42000 m, Deportista: Emmanuel SAINA, Torneo: Torneo de Laos, Intento: 1, Marca: 8030868.0
Posición 3 - Especialidad: carrera 42000 m, Deportista: Herpasa NEGASA, Torneo: Torneo de Tajikistan, Intento: 1, Marca: 8030853.0
