id_deportista, Especialidad, Mejor marca, Mejor torneo, Mejor intento, Peor marca, Peor torneo, Peor intento
769,  lanzamiento de jabalina, 9962.0, Torneo de Serbia, 6, 9064.0, Torneo de Grenada, 1
23,  carrera 100 m, 10732.0, Torneo de Mauritius, 1, 9760.0, Torneo de Suriname, 1
23,  carrera 200 m, 21423.0, Torneo de Austria, 1, 19501.0, Torneo de Tonga, 1
114,  carrera 400 m con vallas, 50646.0, Torneo de Libya, 1, 46135.0, Torneo de Cambodia, 1
114,  carrera 400 m, 47786.0, Torneo de Timor-Leste, 1, 43467.0, Torneo de Malta, 1
660,  lanzamiento de bala, 2521.0, Torneo de Zambia, 6, 2291.0, Torneo de India, 5
53,  carrera 200 m, 21436.0, Torneo de Albania, 1, 19506.0, Torneo de Algeria, 1
110,  carrera 400 m, 47781.0, Torneo de Chad, 1, 43458.0, Torneo de Gabon, 1
91,  carrera 400 m, 47750.0, Torneo de Equatorial Guinea, 1, 43463.0, Torneo de Burkina Faso, 1
128,  carrera 800 m, 112071.0, Torneo de Spain, 1, 101946.0, Torneo de Guinea, 1
363,  carrera 42000 m, 8030868.0, Torneo de Laos, 1, 7304424.0, Torneo de Burundi, 1
251,  carrera 21000 m, 3828790.0, Torneo de Samoa, 1, 3481062.0, Torneo de Indonesia, 1
251,  carrera 10000 m, 1768287.0, Torneo de Sri Lanka, 1, 1610215.0, Torneo de Australia, 1
251,  carrera 42000 m, 8030030.0, Torneo de Azerbaijan, 1, 7301146.0, Torneo de Ecuador, 1
744,  lanzamiento de martillo, 8992.0, Torneo de Australia, 10, 8174.0, Torneo de Somalia, 10
778,  lanzamiento de jabalina, 9953.0, Torneo de Thailand, 2, 9064.0, Torneo de Bolivia, 8
247,  carrera 10000 m, 1768687.0, Torneo de Thailand, 1, 1608863.0, Torneo de Philippines, 1
796,  lanzamiento de jabalina, 9968.0, Torneo de Oman, 10, 9061.0, Torneo de Senegal, 3
214,  carrera 10000 m, 1768421.0, Torneo de Maldives, 1, 1608036.0, Torneo de Bhutan, 1
