"nombre","especialidad","mejor_marca","peor_marca"
"Steven GARDINER","carrera 200 m","19504","21450"
"Fanny ROOS","lanzamiento de bala","2521","2291"
"Tsehay GEMECHU","carrera 21000 m","3481952","3828843"
"Chase EALEY","lanzamiento de bala","2521","2291"
"Zeineba YIMER","carrera 21000 m","3481062","3828790"
"Herpasa NEGASA","carrera 42000 m","7304817","8030853"
"Kendell WILLIAMS","carrera 110 m con vallas","12100","13304"
"Anthony José ZAMBRANO","carrera 400 m","43573","47777"
"Ben BROEDERS","salto con pertiga","667","606"
"Reggie JAGERS III","lanzamiento de disco","7905","7188"
"Vivian J. CHERUIYOT","carrera 42000 m","7308210","8028981"
"Akani SIMBINE","carrera 100 m","9765","10736"
"Megan TAPPER","carrera 110 m con vallas","12115","13302"
"Alison DOS SANTOS","carrera 400 m con vallas","46095","50689"
"Janeek BROWN","carrera 110 m con vallas","12102","13308"
"Machel CEDENIO","carrera 400 m","43473","47774"
"Florentina Costina IUSCO","salto largo","956","869"
"Kemar MOWATT","carrera 400 m con vallas","46099","50687"
"Patrícia MAMONA","salto triple","1996","1814"
"Kaan Kigen ÖZBILEN","carrera 42000 m","7303292","8028537"
"Ryan CROUSER","lanzamiento de bala","2520","2291"
"Darrell HILL","lanzamiento de bala","2520","2293"
"Daniel STÅHL","lanzamiento de disco","7905","7189"
"Conor MCCULLOUGH","lanzamiento de martillo","8988","8181"
"Annika Marie FUCHS","lanzamiento de jabalina","9967","9064"
"Noah LYLES","carrera 200 m","19505","21444"
"Andre DE GRASSE","carrera 100 m","9767","10731"
"Arshad NADEEM","lanzamiento de jabalina","9968","9062"
"Cyprian MRZYGŁÓD","lanzamiento de jabalina","9964","9068"
"Clarence MUNYAI","carrera 200 m","19503","21434"
"Iryna ZHUK","salto con pertiga","667","606"
"Abraham KIBIWOT","carrera 3000 m con vallas","481060","528923"
"Paulina GUBA","lanzamiento de bala","2516","2291"
"Dawit SEYAUM","carrera 1500 m","208772","229624"
"Steffin MCCARTER","salto largo","956","869"
"Brittney REESE","salto largo","956","869"
"Xinyue SU","lanzamiento de disco","7904","7197"
"Brianna MCNEAL","carrera 110 m con vallas","12109","13293"
"Yuki KOIKE","carrera 100 m","9764","10733"
"Abderrahman SAMBA","carrera 400 m","43477","47769"
"Ehsan HADADI","lanzamiento de disco","7902","7186"
"Abadi HADIS","carrera 5000 m","772645","849157"
"Amalie IUEL","carrera 400 m con vallas","46104","50693"
"Kimberly WILLIAMS","salto triple","1996","1814"
"Kurtis MARSCHALL","salto con pertiga","667","606"
"Darlan ROMANI","lanzamiento de bala","2521","2291"
"Fedrick DACRES","lanzamiento de disco","7904","7189"
"Winnie NANYONDO","carrera 800 m","101899","111989"
"Anita WŁODARCZYK","lanzamiento de martillo","8990","8175"
"Mujinga KAMBUNDJI","carrera 100 m","9764","10732"
"Zuzana HEJNOVÁ","carrera 400 m con vallas","46138","50693"
"Beth DOBBIN","carrera 200 m","19502","21429"
"Svetlana RADZIVIL","salto de altura","261","237"
"Ruth CHEPNGETICH","carrera 21000 m","3482162","3828690"
"Will CLAYE","salto triple","1996","1814"
"Chukwuebuka ENEKWECHI","lanzamiento de bala","2521","2292"
"Teahna DANIELS","carrera 200 m","19506","21444"
"Alfred KIPKETER","carrera 800 m","101945","112066"
"Brigid KOSGEI","carrera 21000 m","3482843","3828074"
"Michael MASON","salto de altura","261","237"
"Cole WALSH","salto con pertiga","667","606"
"Liadagmis POVEA","salto triple","1996","1815"
"Danniel THOMAS-DODD","lanzamiento de bala","2521","2292"
"Dzmitry NABOKAU","salto de altura","261","237"
"Olga RYPAKOVA","salto triple","1996","1814"
"Shelly-Ann FRASER-PRYCE","carrera 200 m","19509","21440"
"Rodgers KWEMOI","carrera 10000 m","1608075","1768720"
"Hibiki TSUHA","salto largo","956","869"
"Kamila LIĆWINKO","salto de altura","261","237"
"Keturah ORJI","salto largo","956","870"
"Necatí ER","salto triple","1996","1814"
"Eliud KIPCHOGE","carrera 42000 m","7306906","8027660"
"Anzhelika SIDOROVA","salto con pertiga","667","606"
"Bedan KAROKI","carrera 21000 m","3483548","3827918"
"Nadine VISSER","carrera 110 m con vallas","12100","13307"
"Britany ANDERSON","carrera 110 m con vallas","12105","13297"
"TJ HOLMES","carrera 400 m con vallas","46094","50687"
"Hillary BOR","carrera 3000 m con vallas","481332","529108"
"Habitam ALEMU","carrera 800 m","101994","112017"
"Leonard Kipkemoi BETT","carrera 3000 m con vallas","481113","528870"
"Alysha NEWMAN","salto con pertiga","667","606"
"Katarina JOHNSON-THOMPSON","salto de altura","261","237"
"Kiara PARKER","carrera 100 m","9765","10730"
"Kenyattia HACKWORTH","salto largo","956","869"
"Berehanu TSEGU","carrera 21000 m","3481292","3828021"
"Salwa Eid NASER","carrera 400 m","43457","47771"
"Omar CRADDOCK","salto triple","1995","1814"
"Zarck VISSER","salto largo","956","869"
"Keturah ORJI","salto triple","1996","1814"
"Tomas WALSH","lanzamiento de bala","2521","2291"
"Jakob INGEBRIGTSEN","carrera 5000 m","772184","849290"
"Nafissatou THIAM","salto largo","956","869"
"Cornelius TUWEI","carrera 800 m","102008","112055"
"Amere LATTIN","carrera 400 m con vallas","46115","50682"
"Alexis COPELLO","salto triple","1995","1815"
"Maggie EWEN","lanzamiento de bala","2521","2293"
"Yarisley SILVA","salto con pertiga","667","606"
"Alex ROSE","lanzamiento de disco","7904","7186"
"Norman GRIMES","carrera 400 m con vallas","46130","50625"
"Stewart MCSWEYN","carrera 1500 m","208788","229585"
"Genevieve GREGSON","carrera 3000 m con vallas","481076","528811"
"Eliza MCCARTNEY","salto con pertiga","667","606"
"Catriona BISSET","carrera 800 m","101954","112078"
"Robert URBANEK","lanzamiento de disco","7905","7194"
"Jenny SIMPSON","carrera 1500 m","208884","229430"
"Ivana ŠPANOVIĆ","salto largo","956","869"
"Kahmari MONTGOMERY","carrera 400 m","43461","47791"
"Michael CHERRY","carrera 400 m","43454","47788"
"Tatsiana KHALADOVICH","lanzamiento de jabalina","9962","9064"
"Haruka KITAGUCHI","lanzamiento de jabalina","9966","9072"
"Emmanuel SAINA","carrera 42000 m","7304424","8030868"
"Vivian J. CHERUIYOT","carrera 21000 m","3484087","3827707"
"Barbora ŠPOTÁKOVÁ","lanzamiento de jabalina","9953","9064"
"Javier CIENFUEGOS","lanzamiento de martillo","8991","8175"
"Eunice Jepkoech SUM","carrera 800 m","101915","112045"
"Brittany BROWN","carrera 200 m","19508","21446"
"Ferguson Cheruiyot ROTICH","carrera 800 m","101918","112019"
"Elizabeth GLEADLE","lanzamiento de jabalina","9966","9063"
"Ruiting WU","salto triple","1996","1815"
"Andy DÍAZ","salto triple","1995","1815"
"Ninon GUILLON-ROMARIN","salto con pertiga","667","606"
"Luiza GEGA","carrera 3000 m con vallas","481224","528861"
"Genzebe DIBABA","carrera 1500 m","208883","229523"
"Marius KIPSEREM","carrera 42000 m","7307460","8026004"
"Norah JERUTO","carrera 3000 m con vallas","481044","529121"
"Sara KOLAK","lanzamiento de jabalina","9940","9087"
"Halimah NAKAAYI","carrera 800 m","101916","112041"
"Queen CLAYE","carrera 110 m con vallas","12098","13295"
"Natoya GOULE","carrera 800 m","101894","112077"
"Sergey SHUBENKOV","carrera 110 m con vallas","12113","13308"
"Solomon BERIHU","carrera 10000 m","1608510","1768122"
"Roza DEREJE","carrera 21000 m","3481121","3825191"
